"","key","age","sex","height","location"
"1","A",21,"male",1.01,"Abuja"
"2","B",22,"female",1.31,"Abuja"
"3","C",23,"female",1.26,"Abuja"
"4","D",24,"male",1.43,"Abuja"
"5","E",25,"female",1.09,"Lagos"
"6","F",26,"female",1.22,"Kaduna"
"7","G",27,"female",1.56,"Jos"
"8","H",28,"male",1.42,""
"9","I",29,"male",0.89,""
"10","J",30,"male",0.97,"not known"
"11","K",31,"female",1.36,"not known"
"12","L",32,"female",1.34,"not known"
"13","M",33,"",1.24,"Port Harcourt"
"14","N",34,"female",1.17,"Maiduguri"
"15","O",35,"",0.73,"Gombe"
"16","P",36,"male",1.35,"Lsgos"
"17","Q",37,"female",1.02,"Makurdi"
"18","R",38,"male",1.33,"Sokoto"
"19","S",39,"female",1.22,"Akure"
"20","T",40,"female",1.07,"Minna"
